LinieID;Herkunft
10;Bellinzona
1056;Interlaken
1057;Thun
1058;Interlaken
1060;Visp
1062;Interlaken
1063;Thun
1065;Thun
1066;Interlaken
1067;Thun
1068;Visp
1069;Thun
1070;Interlaken
1073;Thun
1074;Interlaken
1075;Thun
1076;Visp
1077;Thun
1078;Interlaken
1079;Thun
1080;Visp
1082;Interlaken
1083;Thun
1084;Visp
1085;Thun
1087;Thun
1088;Visp
1090;Visp
1093;Thun
1097;Thun
11;Zug
12;Bellinzona
13;Zug
14;Bellinzona
1456;Bellinzona
1458;Bellinzona
1463;Zug
1489;Zug
15;Zug
151;Luzern
158;Bellinzona
16;Bellinzona
17;Zug
18;Bellinzona
19;Zug
20;Bellinzona
21;Zug
22;Bellinzona
23;Zug
2306;Luzern
2309;Luzern
2311;Luzern
2313;Luzern
2315;Luzern
2319;Luzern
2323;Luzern
2327;Luzern
2331;Luzern
2335;Luzern
2339;Luzern
24;Bellinzona
2417;Zug
2421;Zug
2425;Zug
2429;Zug
2433;Zug
2437;Zug
2441;Zug
25;Zug
275;Thun
278;Interlaken
333;Thun
336;Interlaken
371;Thun
372;Interlaken
373;Thun
376;Interlaken
50;Visp
51;Thun
56;Visp
57;Thun
59;Thun
6;Interlaken
667;Luzern
668;Bellinzona
672;Bellinzona
675;Luzern
679;Luzern
680;Bellinzona
683;Luzern
684;Bellinzona
687;Luzern
688;Bellinzona
691;Luzern
696;Bellinzona
7;Thun
70019;Zug
70022;Bellinzona
70051;Thun
70052;Visp
802;Thun
804;Thun
806;Thun
807;Visp
808;Thun
809;Visp
810;Thun
811;Visp
812;Thun
813;Visp
814;Thun
815;Visp
816;Thun
817;Visp
818;Thun
819;Visp
820;Thun
821;Visp
822;Thun
823;Visp
824;Thun
825;Visp
826;Thun
827;Visp
828;Thun
829;Visp
830;Thun
831;Visp
833;Visp
835;Visp
861;Zug
866;Bellinzona
867;Zug
868;Bellinzona
870;Bellinzona
871;Zug
875;Zug
878;Bellinzona
879;Zug
882;Bellinzona
883;Zug
886;Bellinzona
887;Zug
890;Bellinzona
955;Thun
956;Interlaken
957;Thun
959;Thun
960;Interlaken
961;Thun
962;Interlaken
963;Thun
964;Interlaken
965;Thun
967;Thun
968;Interlaken
971;Thun
972;Interlaken
974;Interlaken
975;Thun
977;Thun
978;Interlaken
979;Thun
980;Interlaken
982;Interlaken
983;Thun
984;Interlaken
986;Interlaken
987;Thun
989;Thun
990;Interlaken
991;Thun
992;Interlaken
